generation,stage,stage_code,chi2,rms_ms,K_ms,P_days,e,rel_err_K,rel_err_P
75,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
76,de,0,9.2312699435e+01,2.2037356260e+00,3.0949314340e+01,1.4695099961e+02,2.1875704036e-01,1.4547154994e-02,3.7220365393e-03
77,de,0,9.2312699435e+01,2.2037356260e+00,3.0949314340e+01,1.4695099961e+02,2.1875704036e-01,1.4547154994e-02,3.7220365393e-03
78,de,0,9.2312699435e+01,2.2037356260e+00,3.0949314340e+01,1.4695099961e+02,2.1875704036e-01,1.4547154994e-02,3.7220365393e-03
79,de,0,9.2312699435e+01,2.2037356260e+00,3.0949314340e+01,1.4695099961e+02,2.1875704036e-01,1.4547154994e-02,3.7220365393e-03
80,de,0,8.7614387813e+01,2.1469230688e+00,3.1876877998e+01,1.4731492013e+02,2.2597044303e-01,4.4953549791e-02,1.2547787956e-03
81,de,0,8.7614387813e+01,2.1469230688e+00,3.1876877998e+01,1.4731492013e+02,2.2597044303e-01,4.4953549791e-02,1.2547787956e-03
82,de,0,8.7614387813e+01,2.1469230688e+00,3.1876877998e+01,1.4731492013e+02,2.2597044303e-01,4.4953549791e-02,1.2547787956e-03
83,de,0,8.7614387813e+01,2.1469230688e+00,3.1876877998e+01,1.4731492013e+02,2.2597044303e-01,4.4953549791e-02,1.2547787956e-03
84,de,0,8.7614387813e+01,2.1469230688e+00,3.1876877998e+01,1.4731492013e+02,2.2597044303e-01,4.4953549791e-02,1.2547787956e-03
85,de,0,8.7614387813e+01,2.1469230688e+00,3.1876877998e+01,1.4731492013e+02,2.2597044303e-01,4.4953549791e-02,1.2547787956e-03
86,de,0,8.7614387813e+01,2.1469230688e+00,3.1876877998e+01,1.4731492013e+02,2.2597044303e-01,4.4953549791e-02,1.2547787956e-03
87,de,0,8.7293411340e+01,2.1429868197e+00,3.1736690007e+01,1.4714369632e+02,2.2870353631e-01,4.0358057761e-02,2.4156181377e-03
88,de,0,8.6244096725e+01,2.1300679417e+00,3.1559924163e+01,1.4698861711e+02,2.3221933537e-01,3.4563509863e-02,3.4670026539e-03
89,de,0,8.6244096725e+01,2.1300679417e+00,3.1559924163e+01,1.4698861711e+02,2.3221933537e-01,3.4563509863e-02,3.4670026539e-03
90,de,0,8.6244096725e+01,2.1300679417e+00,3.1559924163e+01,1.4698861711e+02,2.3221933537e-01,3.4563509863e-02,3.4670026539e-03
91,de,0,8.6165678967e+01,2.1290993355e+00,3.1499887242e+01,1.4720754052e+02,2.2788025907e-01,3.2595444064e-02,1.9827761411e-03
92,de,0,8.5674918584e+01,2.1230274885e+00,3.1420528331e+01,1.4730559085e+02,2.1775717003e-01,2.9993985544e-02,1.3180281093e-03
93,de,0,8.5674918584e+01,2.1230274885e+00,3.1420528331e+01,1.4730559085e+02,2.1775717003e-01,2.9993985544e-02,1.3180281093e-03
94,de,0,8.5674918584e+01,2.1230274885e+00,3.1420528331e+01,1.4730559085e+02,2.1775717003e-01,2.9993985544e-02,1.3180281093e-03
95,de,0,8.5674918584e+01,2.1230274885e+00,3.1420528331e+01,1.4730559085e+02,2.1775717003e-01,2.9993985544e-02,1.3180281093e-03
96,de,0,8.5595670306e+01,2.1220453738e+00,3.1344101816e+01,1.4712934539e+02,2.1975938483e-01,2.7488653676e-02,2.5129126344e-03
97,de,0,8.5595670306e+01,2.1220453738e+00,3.1344101816e+01,1.4712934539e+02,2.1975938483e-01,2.7488653676e-02,2.5129126344e-03
98,de,0,8.5595670306e+01,2.1220453738e+00,3.1344101816e+01,1.4712934539e+02,2.1975938483e-01,2.7488653676e-02,2.5129126344e-03
99,de,0,8.5595670306e+01,2.1220453738e+00,3.1344101816e+01,1.4712934539e+02,2.1975938483e-01,2.7488653676e-02,2.5129126344e-03
100,de,0,8.5595670306e+01,2.1220453738e+00,3.1344101816e+01,1.4712934539e+02,2.1975938483e-01,2.7488653676e-02,2.5129126344e-03
101,de,0,8.5595670306e+01,2.1220453738e+00,3.1344101816e+01,1.4712934539e+02,2.1975938483e-01,2.7488653676e-02,2.5129126344e-03
102,de,0,8.5473880343e+01,2.1205351582e+00,3.1495052315e+01,1.4702356210e+02,2.2083664283e-01,3.2436950690e-02,3.2300874400e-03
103,de,0,8.5159333794e+01,2.1166297441e+00,3.1462615250e+01,1.4705481784e+02,2.2163811454e-01,3.1373633692e-02,3.0181841126e-03
104,polish,1,8.4915362013e+01,2.1135956180e+00,3.1349127918e+01,1.4716163343e+02,2.2082008085e-01,2.7653413965e-02,2.2940106206e-03
