phase,model_velocity_ms
4.661654135338345606e-01,3.910257720172061635e+00
4.686716791979949615e-01,3.855201746629718595e+00
4.711779448621553623e-01,3.799986290747970674e+00
4.736842105263157632e-01,3.744608931167413335e+00
4.761904761904761640e-01,3.689067201290524789e+00
4.786967418546365649e-01,3.633358588900750252e+00
4.812030075187969658e-01,3.577480535747068036e+00
4.837092731829573666e-01,3.521430437094080101e+00
4.862155388471177675e-01,3.465205641237763867e+00
4.887218045112781684e-01,3.408803448986856832e+00
4.912280701754385692e-01,3.352221113109759010e+00
4.937343358395989701e-01,3.295455837746988248e+00
4.962406015037593709e-01,3.238504777788972611e+00
4.987468671679197718e-01,3.181365038218958219e+00
5.012531328320801727e-01,3.124033673420896218e+00
5.037593984962405180e-01,3.066507686451946491e+00
5.062656641604009744e-01,3.008784028279318790e+00
5.087719298245614308e-01,2.950859596981032063e+00
5.112781954887217761e-01,2.892731236910212722e+00
5.137844611528821215e-01,2.834395737822469119e+00
5.162907268170425779e-01,2.775849833965757352e+00
5.187969924812030342e-01,2.717090203132269011e+00
5.213032581453633796e-01,2.658113465671682274e+00
5.238095238095237249e-01,2.598916183465080021e+00
5.263157894736841813e-01,2.539494858858898141e+00
