time_days,model_velocity_ms,truth_velocity_ms
1.578113545993125513e+02,3.536141910855364756e+01,3.313277946915466288e+01
1.580129298902789969e+02,3.514555973504990050e+01,3.292807260556465110e+01
1.582145051812454426e+02,3.492448349487183634e+01,3.271905612963034571e+01
1.584160804722119167e+02,3.469821139735392990e+01,3.250574929332313445e+01
1.586176557631783623e+02,3.446676696543131868e+01,3.228817304164093116e+01
1.588192310541448080e+02,3.423017625185170232e+01,3.206635002051788774e+01
1.590208063451112537e+02,3.398846785261139303e+01,3.184030458323163870e+01
1.592223816360776993e+02,3.374167291753344955e+01,3.161006279527208207e+01
1.594239569270441450e+02,3.348982515792290826e+01,3.137565243764002076e+01
1.596255322180106191e+02,3.323296085122655086e+01,3.113710300854520341e+01
1.598271075089770648e+02,3.297111884264288761e+01,3.089444572347621332e+01
1.600286827999435104e+02,3.270434054362347354e+01,3.064771351361664742e+01
1.602302580909099561e+02,3.243266992722138298e+01,3.039694102258592068e+01
1.604318333818764017e+02,3.215615352024315143e+01,3.014216460148419330e+01
1.606334086728428474e+02,3.187484039217230603e+01,2.988342230222559337e+01
1.608349839638093215e+02,3.158878214083585334e+01,2.962075386914516173e+01
1.610365592547757672e+02,3.129803287479537843e+01,2.935420072886944354e+01
1.612381345457422128e+02,3.100264919245143247e+01,2.908380597844282178e+01
1.614397098367086585e+02,3.070269015785401479e+01,2.880961437170558881e+01
1.616412851276751041e+02,3.039821727322890510e+01,2.853167230392316611e+01
1.618428604186415782e+02,3.008929444822468113e+01,2.825002779466745295e+01
1.620444357096080239e+02,2.977598796590749330e+01,2.796473046895825831e+01
1.622460110005744696e+02,2.945836644552569794e+01,2.767583153667145623e+01
1.624475862915409152e+02,2.913650080208522297e+01,2.738338377022887471e+01
1.626491615825073609e+02,2.881046420277800024e+01,2.708744148058429957e+01
1.628507368734738066e+02,2.848033202031674804e+01,2.678806049152606761e+01
1.630523121644402806e+02,2.814618178323710040e+01,2.648529811231837172e+01
